rank,french,pos,gender,english,sentence_fr,sentence_en,ipa
5261,conjuré,n,masculine,conspirator,,,
5262,conjurer,v,,to implore/avert,,,
5263,connaissances,n,feminine-plural,knowledge/acquaintances,,,
5264,connaisseur,n,masculine,connoisseur,,,
5265,connecteur,n,masculine,connector,,,
5266,connectique,n,feminine,connectivity/cables,,,
5267,connivence,n,feminine,connivance,,,
5268,connotation,n,feminine,connotation,,,
5269,connoter,v,,to connote,,,
5270,connu,adj,,known,,,
5271,conard,n,masculine,(slang) jerk,,,
5272,conquérant,n,masculine,conqueror,,,
5273,consanguin,adj,,consanguineous,,,
5274,consanguinité,n,feminine,consanguinity,,,
5275,consciencieux,adj,,conscientious,,,
5276,conscription,n,feminine,conscription,,,
5277,consécrateur,n,masculine,consecrator,,,
5278,consécration,n,feminine,consecration,,,
5279,consécutivement,adv,,consecutively,,,
5280,conseillère,n,feminine,advisor (f),,,
5281,conservatisme,n,masculine,conservatism,,,
5282,conservatoire,n,masculine,conservatory,,,
5283,conserve,n,feminine,canned food,,,
5284,consigner,v,,to record/detain,,,
5285,consistance,n,feminine,consistency,,,
5286,consistant,adj,,consistent/solid,,,
5287,consoeur,n,feminine,female colleague,,,
5288,consolation,n,feminine,consolation,,,
5289,consoler,v,,to console,,,
5290,consolidation,n,feminine,consolidation,,,
5291,consommable,adj,masculine,consumable,,,
5292,consommatrice,n,feminine,consumer (f),,,
5293,consommé,n,masculine,clear soup,,,
5294,consomption,n,feminine,consumption (wasting away),,,
5295,consonance,n,feminine,consonance,,,
5296,consonne,n,feminine,consonant,,,
5297,consortium,n,masculine,consortium,,,
5298,conspirateur,n,masculine,conspirator,,,
5299,conspiration,n,feminine,conspiracy,,,
5300,conspirer,v,,to conspire,,,
5301,constable,n,masculine,constable,,,
5302,constance,n,feminine,constancy,,,
5303,constatations,n,feminine-plural,findings/observations,,,
5304,constellation,n,feminine,constellation,,,
5305,consternation,n,feminine,consternation,,,
5306,consterner,v,,to dismay,,,
5307,constipation,n,feminine,constipation,,,
5308,constipé,adj,,constipated,,,
5309,constituant,n/adj,masculine,constituent,,,
5310,constitutif,adj,,constitutive,,,
5311,constitutionnalité,n,feminine,constitutionality,,,
5312,consul,n,masculine,consul,,,
5313,consulaire,adj,,consular,,,
5314,consulat,n,masculine,consulate,,,
5315,consultant,n,masculine,consultant,,,
5316,consumérisme,n,masculine,consumerism,,,
5317,consumer,v,,to consume/burn up,,,
5318,contage,n,masculine,contagion,,,
5319,contagieux,adj,,contagious,,,
5320,contagion,n,feminine,contagion,,,
5321,contamination,n,feminine,contamination,,,
5322,con conte,n,masculine,(typo in source) tale,,,
5323,contemplation,n,feminine,contemplation,,,
5324,contempler,v,,to contemplate,,,
5325,contenance,n,feminine,capacity/bearing,,,
5326,contenant,n,masculine,container,,,
5327,contentement,n,masculine,contentment,,,
5328,contentieux,n/adj,masculine,dispute/contentious,,,
5329,conter,v,,to tell (a story),,,
5330,contextuel,adj,,contextual,,,
5331,contexter,v,,to put into context,,,
5332,contigu,adj,,contiguous,,,
5333,contiguïté,n,feminine,contiguity,,,
5334,continence,n,feminine,continence,,,
5335,contingence,n,feminine,contingency,,,
5336,continuel,adj,,continual,,,
5337,continuum,n,masculine,continuum,,,
5338,contonder,v,,to bruise (medical),,,
5339,contondant,adj,,blunt (object),,,
5340,contour,n,masculine,outline,,,
5341,contractant,n,masculine,contracting party,,,
5342,contraction,n,feminine,contraction,,,
5343,contractuel,adj,masculine,contractual,,,
5344,contralto,n,masc / fem,contralto,,,
5345,contrariété,n,feminine,annoyance/setback,,,
5346,contraste,n,masculine,contrast,,,
5347,contraster,v,,to contrast,,,
5348,contrat-cadre,n,masculine,framework agreement,,,
5349,contravention,n,feminine,fine/violation,,,
5350,contre-attaques,n,feminine-plural,counter-attacks,,,
5351,contre-attaquer,v,,to counter-attack,,,
5352,contrebalancer,v,,to counterbalance,,,
5353,contrebande,n,feminine,smuggling,,,
5354,contrebandier,n,masculine,smuggler,,,
5355,contrecarrer,v,,to thwart,,,
5356,contrecœur,adv,masculine,reluctantly (à contre-cœur),,,
5357,contrecoup,n,masculine,repercussion,,,
5358,contredits,n,masculine-plural,contradictions,,,
5359,contrée,n,feminine,region/land,,,
5360,contre-expertise,n,feminine,second opinion/expert review,,,
5361,contrefaçon,n,feminine,counterfeit,,,
5362,contrefaire,v,,to counterfeit/mimic,,,
5363,contrefort,n,masculine,buttress/foothill,,,
5364,contre-indiquer,v,,to contraindicate,,,
5365,contre-indication,n,feminine,contraindication,,,
5366,contre-maître,n,masc / fem,foreman,,,
5367,contremaître,n,masc / fem,foreman,,,
5368,contre-mesure,n,feminine,countermeasure,,,
5369,contre-pied,n,masculine,wrong foot (taking someone by),,,
5370,contre-pouvoir,n,masculine,counterpower,,,
5371,contresens,n,masculine,mistranslation/wrong way,,,
5372,contresignations,n,feminine-plural,countersignatures,,,
5373,contresigner,v,,to countersign,,,
5374,contretemps,n,masculine,setback/delay,,,
5375,contrevenir,v,,to contravene/violate,,,
5376,contre-vérité,n,feminine,falsehood,,,
5377,contrition,n,feminine,contrition,,,
5378,contrôlable,adj,,controllable,,,
5379,controuver,v,,to fabricate/invent,,,
5380,controverses,n,feminine-plural,controversies,,,
5381,controverser,v,,to contest/dispute,,,
5382,contuse,adj,,bruised,,,
5383,contusion,n,feminine,bruise/contusion,,,
5384,convalescence,n,feminine,convalescence,,,
5385,convalescent,n,masculine,convalescent,,,
5386,convenablement,adv,,suitably,,,
5387,convenance,n,feminine,propriety/convenience,,,
5388,conventionnellement,adv,,conventionally,,,
5389,convergence,n,feminine,convergence,,,
5390,convergent,adj,,convergent,,,
5391,converger,v,,to converge,,,
5392,converser,v,,to converse,,,
5393,converti,n/adj,masculine,convert,,,
5394,convertisseur,n,masculine,converter,,,
5395,convexe,adj,,convex,,,
5396,convexité,n,feminine,convexity,,,
5397,convive,n,masc / fem,guest (at a meal),,,
5398,convocation,n,feminine,summons/meeting notice,,,
5399,convoitise,n,feminine,greed/covetousness,,,
5400,convoiter,v,,to covet,,,
5401,convoyer,v,,to escort/convey,,,
5402,convoyeur,n,masculine,escort/transporter,,,
5403,convulsion,n,feminine,convulsion,,,
5404,convulsif,adj,,convulsive,,,
5405,coopérative,n,feminine,cooperative,,,
5406,coopérateur,n,masculine,cooperator,,,
5407,coordonnateur,n,masculine,coordinator,,,
5408,copieur,n,masculine,copycat/photocopier,,,
5409,copieusement,adv,,copiously,,,
5410,copieux,adj,,copious/hearty,,,
5411,copropriété,n,feminine,joint ownership/condo,,,
5412,copropriétaire,n,masc / fem,co-owner,,,
5413,copule,n,feminine,copula,,,
5414,coq,n,masculine,rooster,,,
5415,coquelicot,n,masculine,poppy,,,
5416,coquet,adj,,trim/pretty/coquettish,,,
5417,coquetterie,n,feminine,coquetry/prettiness,,,
5418,cor,n,masculine,horn/callus,,,
5419,corail,n,masculine,coral,,,
5420,coran,n,masculine,Quran,,,
5421,coranique,adj,,Quranic,,,
5422,corbeau,n,masculine,raven,,,
5423,corbeille,n,feminine,basket,,,
5424,cordage,n,masculine,rope/rigging,,,
5425,cordial,adj,,cordial/hearty,,,
5426,cordialité,n,feminine,cordiality,,,
5427,cordonnier,n,masculine,shoemaker,,,
5428,coriace,adj,,tough/leathery,,,
5429,corne,n,feminine,horn,,,
5430,cornée,n,feminine,cornea,,,
5431,corneille,n,feminine,crow,,,
5432,cornemuse,n,feminine,bagpipes,,,
5433,corner,v,,to sound a horn/dog-ear,,,
5434,cornet,n,masculine,cornet/cone,,,
5435,corniche,n,feminine,cornice/ledge,,,
5436,cornichon,n,masculine,pickle,,,
5437,corolle,n,feminine,corolla,,,
5438,corporatif,adj,,corporative,,,
5439,corporatisme,n,masculine,corporatism,,,
5440,corporation,n,feminine,corporation/guild,,,
5441,corporel,adj,,bodily/physical,,,
5442,corpulence,n,feminine,corpulence,,,
5443,corpulent,adj,,corpulent/stout,,,
5444,corpus,n,masculine,corpus,,,
5445,correcteur,n,masculine,corrector/proofreader,,,
5446,correctif,adj/n,masculine,corrective,,,
5447,correctionnel,adj,,correctional (legal),,,
5448,corrélatif,adj,,correlative,,,
5449,corrélation,n,feminine,correlation,,,
5450,corréler,v,,to correlate,,,
5451,corridor,n,masculine,corridor/hallway,,,
5452,corroboration,n,feminine,corroboration,,,
5453,corroborer,v,,to corroborate,,,
5454,corroder,v,,to corrode,,,
5455,corrosif,adj,,corrosive,,,
5456,corrosion,n,feminine,corrosion,,,
5457,corrompu,adj,,corrupt,,,
5458,corrupteur,n,masculine,corruptor,,,
5459,corsage,n,masculine,bodice/blouse,,,
5460,corse,adj/n,masc / fem,Corsican,,,
5461,corser,v,,to spice up/strengthen,,,
5462,corset,n,masculine,corset,,,
5463,cortège,n,masculine,procession,,,
5464,cortex,n,masculine,cortex,,,
5465,corvée,n,feminine,drudgery/chore,,,
5466,cosmétique,adj/n,masculine,cosmetic,,,
5467,cosmique,adj,,cosmic,,,
5468,cosmonaute,n,masc / fem,cosmonaut,,,
5469,cosmos,n,masculine,cosmos,,,
5470,cosse,n,feminine,pod/hull,,,
5471,costaud,adj,,strong/sturdy,,,
5472,costumer,v,,to costume/dress up,,,
5473,cotant,adj,,quoting,,,
5474,cotation,n,feminine,quotation/rating,,,
5475,coteau,n,masculine,hillside,,,
5476,côtelette,n,feminine,cutlet/chop,,,
5477,coterie,n,feminine,clique,,,
5478,côtier,adj,,coastal,,,
5479,cotiser,v,,to contribute (dues),,,
5480,cotonnade,n,feminine,cotton fabric,,,
5481,côtoyer,v,,to rub shoulders with,,,
5482,cottage,n,masculine,cottage,,,
5483,couard,adj,masculine,cowardly,,,
5484,couardise,n,feminine,cowardice,,,
5485,couchage,n,masculine,sleeping/bedding,,,
5486,couchant,n,masculine,sunset/west,,,
5487,couchette,n,feminine,bunk/sleeping berth,,,
5488,coucou,n,masculine,cuckoo/hello (informal),,,
5489,couder,v,,to bend,,,
5490,coudoyer,v,,to elbow/rub shoulders,,,
5491,coudre,v,,to sew,,,
5492,coudrier,n,masculine,hazel tree,,,
5493,couenne,n,feminine,rind/pork skin,,,
5494,couleuvre,n,feminine,grass snake,,,
5495,coulis,n,masculine,coulis/sauce,,,
5496,coulisser,v,,to slide,,,
5497,coupé,n,masculine,coupe (car),,,
5498,couperet,n,masculine,cleaver/chopper,,,
5499,coupler,v,,to couple/pair,,,
5500,couplet,n,masculine,verse/stanza,,,
5501,coupon,n,masculine,coupon,,,
5502,crapaud,n,masculine,toad,,,
5503,crapule,n,feminine,scoundrel,,,
5504,craquement,n,masculine,cracking/creaking,,,
5505,crasse,n,feminine,filth/grime,,,
5506,crasseux,adj,,filthy/grimy,,,
5507,cratère,n,masculine,crater,,,
5508,cravate,n,feminine,tie,,,
5509,crayon,n,masculine,pencil,,,
5510,crayonner,v,,to sketch/draw,,,
5511,créance,n,feminine,claim/debt owed,,,
5512,créancier,n,masculine,creditor,,,
5513,créatice,adj/n,feminine,creative (fem),,,
5514,créativité,n,feminine,creativity,,,
5515,crèche,n,,nursery/daycare,,,
5516,crédence,n,feminine,sideboard/credenza,,,
5517,créditer,v,,to credit,,,
5518,crémation,n,feminine,cremation,,,
5519,crémerie,n,feminine,dairy shop,,,
5520,créneau,n,masculine,niche/time slot/parking space,,,
5521,crêpe,n,masc / fem,pancake/crêpe,,,
5522,crépi,n,masculine,plaster/roughcast,,,
5523,crépir,v,,to plaster/roughcast,,,
5524,crépitement,n,masculine,crackling,,,
5525,crépiter,v,,to crackle,,,
5526,crépuscule,n,masculine,twilight,,,
5527,cresson,n,masculine,watercress,,,
5528,creuset,n,masculine,crucible,,,
5529,crevasse,n,feminine,crevice/crack,,,
5530,crevasser,v,,to crack/split,,,
5531,crevette,n,feminine,shrimp,,,
5532,criard,adj,,shrill/garish,,,
5533,crible,n,masculine,sieve/screen,,,
5534,cribler,v,,to riddle/sieve,,,
5535,cric,n,masculine,jack (for car),,,
5536,criée,n,feminine,auction (fish market),,,
5537,crin,n,masculine,horsehair,,,
5538,crinière,n,feminine,mane,,,
5539,crique,n,feminine,creek/cove,,,
5540,crispation,n,feminine,twitching/tension,,,
5541,crisper,v,,to tense/tighten,,,
5542,cristal,n,masculine,crystal,,,
5543,cristallin,adj/n,,crystalline/lens of eye,,,
5544,cristallisation,n,feminine,crystallization,,,
5545,cristalliser,v,,to crystallize,,,
5546,critiquable,adj,,criticizable,,,
5547,croassement,n,masculine,croaking (crow),,,
5548,croasser,v,,to croak (crow),,,
5549,croc,n,masculine,fang/hook,,,
5550,croisade,n,,crusade,,,
5551,croisement,n,masculine,crossing/intersection,,,
5552,croquant,adj/n,,crunchy/crisp,,,
5553,croque-monsieur,n,masculine,toasted ham/cheese sandwich,,,
5554,croquer,v,,to crunch/bite,,,
5555,croquis,n,masculine,sketch,,,
5556,crossement,n,masculine,(archaic) sound of a cross,,,
5557,crosse,n,feminine,hockey stick/bishop's staff,,,
5558,crotte,n,feminine,droppings/dirt,,,
5559,crotter,v,,to muddy,,,
5560,crouler,v,,to collapse/tumble,,,
5561,croupe,n,feminine,croup (of a horse)/ridge,,,
5562,croupion,n,masculine,rump/pope's nose,,,
5563,croupir,v,,to stagnate,,,
5564,croustille,n,feminine,crisp/chip,,,
5565,croustiller,v,,to crunch/be crispy,,,
5566,croûte,n,feminine,crust,,,
5567,croûton,n,masculine,crouton/crust piece,,,
5568,cru,n,masculine,vintage/growth,,,
5569,cruche,n,feminine,pitcher/jug,,,
5570,crucifix,n,masculine,crucifix,,,
5571,crucifier,v,,to crucify,,,
5572,cruellement,adv,,cruelly,,,
5573,crûment,adv,,crudely/bluntly,,,
5574,crypte,n,feminine,crypt,,,
5575,daim,n,masculine,deer/suede,,,
5576,dalle,n,feminine,flagstone/slab,,,
5577,daltonisme,n,masculine,color blindness,,,
5578,damer,v,,to ram/tamp down,,,
5579,damnation,n,feminine,damnation,,,
5580,damner,v,,to damn,,,
5581,dangereusement,adv,,dangerously,,,
5582,dard,n,masculine,sting/dart,,,
5583,darder,v,,to dart/shoot,,,
5584,datif,n,masculine,dative (grammar),,,
5585,datte,n,feminine,date (fruit),,,
5586,daube,n,feminine,stew (meat),,,
5587,dauphin,n,masculine,dolphin/heir,,,
5588,dé,n,masculine,die (game)/thimble,,,
5589,déballage,n,masculine,unpacking/display,,,
5590,déballer,v,,to unpack,,,
5591,débandade,n,feminine,stampede/rout,,,
5592,débarbouiller,v,,to wash one's face,,,
5593,débarcadère,n,masculine,landing stage,,,
5594,débarquement,n,masculine,landing/disembarkation,,,
5595,débarras,n,masculine,litter/clearance,,,
5596,débauche,n,feminine,debauchery/excess,,,
5597,débaucher,v,,to corrupt/lay off (employee),,,
5598,débile,adj,masc / fem,feeble/idiotic,,,
5599,débiter,v,,to cut up/retail/recite,,,
5600,débiteur,n,masculine,debtor,,,
5601,déboires,n,masculine-plural,setbacks/troubles,,,
5602,déboîter,v,,to disjoint/dislocate,,,
5603,débonnaire,adj,,good-natured,,,
5604,débordement,n,masculine,overflow/outburst,,,
5605,déboucler,v,,to unbuckle,,,
5606,débourser,v,,to disburse/spend,,,
5607,débris,n,masculine,debris/wreckage,,,
5608,débrouillard,adj,,resourceful,,,
5609,débusquer,v,,to flush out,,,
5610,débutant,n,masculine,beginner,,,
5611,deçà,adv,,on this side (en deçà),,,
5612,décacheter,v,,to unseal/open,,,
5613,décade,n,feminine,decade (ten days),,,
5614,décadence,n,feminine,decadence/decline,,,
5615,décaisser,v,,to pay out/un-crate,,,
5616,décalage,n,masculine,gap/time difference,,,
5617,décaler,v,,to shift/delay,,,
5618,décaper,v,,to strip/scour,,,
5619,décemment,adv,,decently,,,
5620,décence,n,feminine,decency,,,
5621,décennal,adj,,decennial (ten years),,,
5622,décentralisation,n,feminine,decentralization,,,
5623,décentraliser,v,,to decentralize,,,
5624,déchaîner,v,,to unleash/unchain,,,
5625,décharge,n,,dump/discharge,,,
5626,déchiffrer,v,,to decipher,,,
5627,déchiqueter,v,,to shred,,,
5628,déchirant,adj,,heart-rending,,,
5629,déchirement,n,masculine,tearing/heartache,,,
5630,déchoir,v,,to decline/fall,,,
